DATAFLOW,LAST UPDATE,freq,wat_proc,wat_src,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2001,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2002,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2003,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2004,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2005,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2006,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2007,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2008,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2009,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2010,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2011,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2012,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2013,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2014,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2015,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2016,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2017,0.00,
ESTAT:ENV_WAT_BAL(1.0),10/08/22 23:00:00,A,ABST,DSW,MIO_M3,BG,2018,0.00,
